地区,名称,户型,面积,价格
东城,冠城名敦道,1室0厅,76,11000
东城,南门仓胡同,4室2厅,116,20000
东城,聚龙花园,2室1厅,192,20000
东城,保利蔷薇,2室1厅,98,10700
东城,建国门北大街5号,1室1厅,57,12000
东城,前门前,2房间1卫,125,15000
东城,前门前,2房间2卫,199,20000
东城,东中街,4室1厅,107,14000
东城,左安浦园,1室0厅,39,5200
东城,交道口东大街,1室1厅,62,8400
东城,交道口北三条,1室1厅,14,3600
东城,中海紫御公馆,2室2厅,90,12000
东城,东四六条,1室1厅,37,13000
东城,冠城名敦道,1室0厅,52,6500
东城,海运仓小区,2室1厅,64,9500
东城,交林,2室1厅,55,8300
东城,民安小区民安街,3室1厅,93,17000
东城,民安小区民安街,1室1厅,57,8000
东城,万国城MOMA,2室2厅,89,14500
东城,瑞士公寓,1室1厅,72,15000
东城,中景濠庭,3室1厅,203,30000
东城,体育馆路甲8号,2室1厅,59,7500
东城,甘雨胡同,1室1厅,45,7000
东城,凯德华玺,2房间1卫,73,13000
东城,后永康胡同2号院4号院,2室1厅,55,8000
东城,华世隆国际公寓,3室1厅,155,16000
东城,和平里一区,2室1厅,40,5500
东城,安德路55号院,2室1厅,57,7500
东城,青年湖西里,2室1厅,60,7500
东城,新景家园东区,1室1厅,59,7800
东城,冠城名敦道,1室1厅,60,8200
东城,冠城名敦道,1室1厅,60,8200
东城,鸿安国际大厦,2室1厅,152,22000
东城,南门仓胡同,2室1厅,67,10000
东城,左安浦园,2室1厅,64,6500
东城,安外东河沿,3室1厅,76,9800
东城,北京INN,2房间1卫,61,9500
东城,和平里六区,2室1厅,67,8800
东城,上龙西里,1室1厅,45,6300
东城,金鱼池中区,4室2厅,108,11500
东城,幸福南里,2室1厅,41,5500
东城,新景家园东区,1室1厅,58,8200
东城,富贵园一区,2室1厅,92,12000
东城,凯德华玺,3房间1卫,173,28000
东城,胡家园小区,3室1厅,72,7600
东城,定安里,2室1厅,54,5500
东城,远洋德邑,1室1厅,72,7000
东城,西革新里110号院,2室1厅,60,5700
东城,北京上舍,2室1厅,98,13000
东城,沙井胡同,2室1厅,25,7900
东城,崇文门东大街,2室1厅,65,8000
东城,金鱼池中区,1室1厅,40,5000
东城,海晟名苑,1室0厅,45,9000
东城,和平里六区,2室1厅,67,8000
东城,盛德大厦,1室1厅,73,11000
东城,金桥国际,1室1厅,63,7500
